Category,Software,Version,Windows PC Express Software,PC Standard,Windows PC Standard Software,"PC Satellite Lab
(Satellite Facilities)",Mac Express Software,Mac Help Kiosk Software,Mac Standard 1,Mac Standard Software,Mac Standard Software + Pro Tools,Mac Advanced Audio Software,Audio Suite Software,Satellite Lab
Advanced Audio,Ableton Live Suite,9.2.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes
Advanced Audio,"Hollywood Sound Library
- Hollywood Strings GOLD
- Hollywood Woodwinds GOLD
- Hollywood Brass GOLD",,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes
Advanced Audio,REAPER,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes
Advanced Audio,SuperCollider,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes
Advanced Audio,Traktor2PRO,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes
Library Resources,Online Sheet Music,Win 8.3.4.0 / Mac 1.5.15b,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Library Resources,Luna insight (Now Digital Media Collection),Online,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Library Resources,Artstor (Weblink),Online,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Library Resources,Artstor Offline Viewer,3.1 Win / 4.0 Mac,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
University Quick Links,Fashion Snoops,Online,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
University Quick Links,"Information Technology

",N/A,Yes,Yes,Yes,Not Available,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
University Quick Links,Alvin,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available
University Quick Links,FAQ,N/A,Yes,Yes,Yes,Not Available,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
University Quick Links,Library Resources,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
University Quick Links,NewSchool Gmail,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
University Quick Links,Look up your NetID or Reset your Password,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
University Quick Links,LyndaCampus,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available
University Quick Links,My New School,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available
University Quick Links,The New School,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available
University Quick Links,Report a Problem,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Not Available,Yes,Yes,Yes,Yes,Not Available
Utilities,Burn,2.5.1,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available
Utilities,StuffIt Expander,16,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available
Utilities,CDBurnerXP,4.5.5,Yes,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Utilities,7-Zip,9.2,Yes,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Utilities,Notepad,6.1,Yes,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Utilities,Notepad++,6.7.8.2,Yes,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Utilities,Command Prompt,6.1,Yes,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Utilities,Paint,6.1,Yes,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Utilities,WordPad,6.1,Yes,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Utilities,Volume,6.1,Yes,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Utilities,Windows Explorer,6.1,Yes,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Utilities,EndPoint Protection,12.1.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Disk Utilities,Disk Warrior,4.4,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Misc,VMWare Horizon Client,3.4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available
Network Resources,Drop Box,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available
Network Resources,Manuals and Resources,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available
Network Resources,Secure Drop Box,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available
