Category,Software,Version,Windows PC Express Software,PC Standard,Windows PC Standard Software,"PC Satellite Lab
(Satellite Facilities)",Mac Express Software,Mac Help Kiosk Software,Mac Standard 1,Mac Standard Software,Mac Standard Software + Pro Tools,Mac Advanced Audio Software,Audio Suite Software,Satellite Lab
N/A in Start Menu -Visio File viewer on IE,Microsoft Visio Viewer,"Win 2013

",Yes,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Modeling and Animation,AGI32,16.3,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Modeling and Animation,Autodesk 3ds Max,2016,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Modeling and Animation,Autodesk Maya,2016,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Modeling and Animation,Autodesk Motion Builder,2016,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Modeling and Animation,Autodesk Mudbox,2016,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Modeling and Animation,"DesignBuilder
Includes the following database
- Visualisation Seats
- EnergyPlus 
- Daylighting",3.4,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Modeling and Animation,"SolidWorks

",2015,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Modeling and Animation,Zprint,7.10 3-7,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Modeling and Animation,ZEdit,3.21,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Modeling and Animation,Rhino3D,5 SR11,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
N/A in Start Menu - Plugin for Rhino,Flamingo,Flamingo NXT Release20140422_0100,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
N/A in Start Menu - Plugin for Rhino,Penguin,2.0 SR4,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
N/A in Start Menu - Plugin for Rhino,Bongo,2.0 SR5,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
N/A in Start Menu - Plugin for Rhino,Vray for Rhino,2.0 SP2,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
N/A in Start Menu - Plugin for Rhino,Paneling Tools for Rhino,2014_12_17_01,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
N/A in Start Menu - Plugin for Rhino,Grasshopper for Rhino,0.9.76.0,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
N/A in Start Menu - Plugin for Rhino,Neon for Rhino,1.0_20130823,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Multimedia,Adobe Acrobat Professional,DC (15.007),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Acrobat Distiller,DC (15.007),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe After Effects,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Audition,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Yes
Multimedia,Adobe Bridge,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Yes
Multimedia,Adobe Character Animator,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Yes
Multimedia,Adobe Digital Editions,4.0.3,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Yes
Multimedia,Adobe DNG Converter,9.1,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Dreamweaver,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Edge Animate,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Yes
Multimedia,Adobe Edge Code,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Edge Reflow,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Yes
Multimedia,Adobe ExtendScript Toolkit,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Extension Manager,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Fireworks,CS6,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Flash Builder,4.7,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Yes
Multimedia,Adobe Flash Professional,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Yes
Multimedia,Adobe Illustrator,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Yes
Multimedia,Adobe InCopy,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe InDesign,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
