Name,ID,School,Description,courseURL
Game Design,PGTE 5500,"Art, Media & Technology",This class is for students who are interested in game design and the creation of interactive experiences. ,https://courses.newschool.edu/courses/PGTE5500
Immersive Storytelling,ULEC 2960,University Liberal Arts,A mix of media technologies has recently become available to mass markets in virtual reality ...,https://courses.newschool.edu/courses/ULEC2960
Recursive Reality,PGTE 5583,"Art, Media & Technology",Virtual reality (VR) is currently enjoying a renaissance in public interest and technology.,https://courses.newschool.edu/courses/PGTE5583
Virtual Learning Environments,NMDS 5265,Media Studies,"In the Virtual Learning Environments course, we will explore how current trends in technology, such as social media, MOOCs, games and mixed reality, are affecting the processes and objectives of education.",https://courses.newschool.edu/courses/NMDS5265
Exploration as Narrative,PSAM 3742,"Art, Media & Technology","How do we tell stories within media that are non-linear: media-like games, virtual reality, and immersive theater? ",https://courses.newschool.edu/courses/PSAM3742
Projects in Multisensorial Spaces,NMDS 5556,Media Studies,"Synaesthesia, broadly defined as the cross-wiring of sensory perceptions or a synthesis of the arts, will be the lens through which students will be encouraged to design and produce innovative media works...",https://courses.newschool.edu/courses/NMDS5556
Transforming Data,NMDS 5517,Media Studies,"From data capture to data visualization, the process of data transformation is a search for meaning through dozens to hundreds to millions of units of information. ",https://courses.newschool.edu/courses/NMDS5517
Co-Lab: Robot Media Studio,NMDS 5283,Media Studies,This course explores the potential of robotic media platforms and computer vision for cinematic expression. ,https://courses.newschool.edu/courses/NMDS5283
Storytelling Across Media,NMDS 5577,Media Studies,"This course explores the current developments and potentials of transmedia, cross-media and integrated multi-platform media production and distribution. ",https://courses.newschool.edu/courses/NMDS5577
