Banner Fund,Banner Fund Description,Worktag Type,MyDay ID,MyDay Description,"Related Fund
(expense)","Related Fund Description
(expense)","Related Fund
(revenue)","Related Fund Description
(revenue)","Related
Cost Center","Related
Cost Center Description",Related Program Code,Related Program Code Description
11000,Unrestricted operating fund,Fund,FN01,Unrestricted operating fund,FN01,Unrestricted operating fund,FN01,Unrestricted operating fund,null, ,null, 
12000,New School university Annual Fund,Gift,GF12000,New School University Annual Fund,FN01,Unrestricted operating fund,FN01,Unrestricted operating fund,null, ,PG3700,Academic Support
12010,Mannes Annual Fund,Gift,GF12010,Mannes Annual Fund,FN01,Unrestricted operating fund,FN01,Unrestricted operating fund,CC45060,Development - Mannes,PG3700,Academic Support
12200,Funds Designated for Building - Unr,Gift,GF12200,Funds Designated for Building - Unr,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC80200,General Institutional Activity,null, 
12210,Anonymous Building Grant,Gift,GF12210,Anonymous Building Grant,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC80200,General Institutional Activity,null, 
14000,Indirect Cost Recovery - General,Grant,GR14000,Indirect Cost Recovery - General,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC80608,Indirect Cost Recovery,null, 
14502,Prvt Grnt Indirect Cst Recov NSSR,Grant,GR14502,Prvt Grnt Indirect Cst Recov NSSR,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC20404,Philosophy NSSR,null, 
18000,Dean's Discretionary PS,Gift,GF18000,Dean's Discretionary PS,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC10040,Academic Facilities Resources PS,PG3700,Academic Support
18013,Indirect Cost Recovery Fund - PS,Grant,GR18013,Indirect Cost Recovery Fund - PS,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC10040,Academic Facilities Resources PS,PG3008,Instruction
18150,Dean's Discretionary NSSR,Gift,GF18150,Dean's Discretionary NSSR,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC20400,Student Funding NSSR,PG3700,Academic Support
18159,Indirect Cost Recovery - NSSR,Grant,GR18159,Indirect Cost Recovery - NSSR,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC25003,IDCR - NSSR,null, 
18300,Dean's Discretionary LC,Gift,GF18300,Dean's Discretionary LC,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC25350,Civic Engagement; LC,PG3700,Academic Support
18301,Prvt Grnt Indirect Cst Recovery LC,Grant,GR18301,Prvt Grnt Indirect Cst Recovery LC,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC25001,Dean's Office & General Exp. LC,null, 
18302,Indirect Cost Recovery Funds_Lang,Grant,GR18302,Indirect Cost Recovery Funds_Lang,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC25280,Dept. Admin. General Arts LC,PG3008,Instruction
18340,Dean's Discretionary NSPE,Gift,GF18340,Dean's Discretionary NSPE,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC15001,Dean's Office - Executive,PG3700,Academic Support
18341,Dean's Discretionary SMS; NSPE,Gift,GF18341,Dean's Discretionary SMS; NSPE,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC15430,Dean's Office - Media Studies,PG3700,Academic Support
18342,Dean's Discretionary SOW; NSPE,Gift,GF18342,Dean's Discretionary SOW; NSPE,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC15400,Dean's Office - Writing,PG3700,Academic Support
18343,Dean's Discretionary SOL; NSPE,Gift,GF18343,Dean's Discretionary SOL; NSPE,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC15290,English Language Studies Dept. Admin,PG3700,Academic Support
18344,Dean's Discretionary SUS; NSPE,Gift,GF18344,Dean's Discretionary SUS; NSPE,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC15200,Dean's Office - SUS,PG3700,Academic Support
18345,Indirect Cost Recovery - NSPE,Grant,GR18345,Indirect Cost Recovery - NSPE,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC15002,IDCR - SPE,PG3008,Instruction
18400,Dean's Discretionary MM,Gift,GF18400,Dean's Discretionary MM,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC40001,Dean's Office - Milano,PG3700,Academic Support
18450,Dean's Discretionary MA,Gift,GF18450,Dean's Discretionary MA,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,null, ,PG3700,Academic Support
18456,"New School Concert
 (fund to replace 20300 via JV activity)",Grant,GR18456,"New School Concert
 (fund to replace 20300 via JV activity)",FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC45390,New School Concerts,PG3008,Instruction
18480,Dean's Discretionary DR,Gift,GF18480,Dean's Discretionary DR,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,null, ,PG3700,Academic Support
18490,Dean's Discretionary JZ,Gift,GF18490,Dean's Discretionary JZ,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC55060,Development - Jazz,PG3700,Academic Support
18600,New Initiative Income,Gift,GF18600,New Initiative Income,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC72295,Global Initiatives; Paris,PG3700,Academic Support
18800,Pres Strategic Academic Initiative,Gift,GF18800,Pres Strategic Academic Initiative,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC72306,Pres. Strategic Academic Initiative,PG3852,Sponsored Non-Research
18802,Indirect Cost Recovery Fund_Provost,Grant,GR18802,Indirect Cost Recovery Fund_Provost,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC72200,Provost's Office,PG3008,Instruction
19000,FS UR gift transfer,Gift,GF19000,FS UR gift transfer,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC95001,Financial Statement Reporting,null, 
19001,FS UR grants & contracts transfer,Grant,GR19001,FS UR grants & contracts transfer,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC95001,Financial Statement Reporting,null, 
19002,FS UR endowment spending,Gift,GF19002,FS UR endowment spending,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC95001,Financial Statement Reporting,null, 
20002,Federal Work-Study Program,Grant,GR20002,Federal Work-Study Program,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC88820,Financial Aid,PG3802,Student Services
20022,Federal SEOG Program,Grant,GR20022,Federal SEOG Program,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC88820,Financial Aid,PG3802,Student Services
20032,Federal ACG Program,Grant,GR20032,Federal ACG Program,FN01,Unrestricted operating fund,FN01,Unrestricted operating fund,CC88820,Financial Aid,PG3802,Student Services
20042,Federal Pell Grant Program,Grant,GR20042,Federal Pell Grant Program,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC88820,Financial Aid,PG3802,Student Services
20108,Birth to Three_Yeshiva_NIH,Grant,GR20108,Birth to Three_Yeshiva_NIH,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20406,Psychology NSSR,PG3850,Sponsored Research & Programs
20204,Blunted & Discordant Affect_UPitt,Grant,GR20204,Blunted & Discordant Affect_UPitt,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20406,Psychology NSSR,PG3850,Sponsored Research & Programs
20300,New School Concerts,Grant,GR20300,New School Concerts,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC45390,New School Concerts,PG3008,Instruction
20311,AIDS Quilt Touch_NEH,Grant,GR20311,AIDS Quilt Touch_NEH,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC15430,Dean's Office - Media Studies,PG3850,Sponsored Research & Programs
20312,Digital Memorializations-NEH,Grant,GR20312,Digital Memorializations-NEH,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC15430,Dean's Office - Media Studies,PG3852,Sponsored Non-Research
20313,NYSOS FY16 NEA Award_MA,Grant,GR20313,NYSOS FY16 NEA Award_MA,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC45390,New School Concerts,PG3852,Sponsored Non-Research
20314,Everybody Comes to Rick's_NEH_LC,Grant,GR20314,Everybody Comes to Rick's_NEH_LC,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC25120,General Student Activities LC,PG3850,Sponsored Research & Programs
20315,HAL History of Punishment(WT) NEH,Grant,GR20315,HAL History of Punishment(WT) NEH,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC15200,Dean's Office - SUS,PG3852,Sponsored Non-Research
20316,NEH Enduring Ques Course in Incarce,Grant,GR20316,NEH Enduring Questions Course on Incarceration,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC15385,History,PG3852,Sponsored Non-Research
20425,Grad Research Fellowship Prog_NSF,Grant,GR20425,Grad Research Fellowship Prog_NSF,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20401,Anthropology NSSR,PG3850,Sponsored Research & Programs
20428,Culture;Psy Dist & Moral_NSF_NSSR,Grant,GR20428,Culture;Psy Dist & Moral_NSF_NSSR,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20503,Psychology Research NSSR,PG3850,Sponsored Research & Programs
20440,DDR: The Unsteady Earth_NSF,Grant,GR20440,DDR: The Unsteady Earth_NSF,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20401,Anthropology NSSR,PG3850,Sponsored Research & Programs
20442,DDR:Imitation vc Innovation_NSF,Grant,GR20442,DDR:Imitation vc Innovation_NSF,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20401,Anthropology NSSR,PG3850,Sponsored Research & Programs
20443,DDR in Economics_NSF_NSSR,Grant,GR20443,DDR in Economics_NSF_NSSR,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20402,Economics NSSR,PG3850,Sponsored Research & Programs
20445,DDR:Deriv States_NSF,Grant,GR20445,DDR:Deriv States_NSF,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20401,Anthropology NSSR,PG3850,Sponsored Research & Programs
20446,DDR: An Ethnographic Analysis_NSF,Grant,GR20446,DDR: An Ethnographic Analysis_NSF,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20401,Anthropology NSSR,PG3850,Sponsored Research & Programs
20447,NSF Collab Research_NSSR,Grant,GR20447,NSF Collab Research_NSSR,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20406,Psychology NSSR,PG3850,Sponsored Research & Programs
20449,DDR: US Veterans_F Howard_NSF,Grant,GR20449,DDR: US Veterans_F Howard_NSF,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20401,Anthropology NSSR,PG3850,Sponsored Research & Programs
20450,Collab Research_NSF_NSSR,Grant,GR20450,Collab Research_NSF_NSSR,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC40490,Urban Policy Milano,PG3850,Sponsored Research & Programs
20451,Urban resilience to extreme weather,Grant,GR20451,Urban resilience to extreme weather,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC80301,Environmental Studies,PG3850,Sponsored Research & Programs
20452,The Devoted Actor: Sacred values_NSF,Grant,GR20452,The Devoted Actor: Sacred values_NSF,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20503,Psychology Research NSSR,PG3850,Sponsored Research & Programs
20707,TATRC III _ DOD_PIIM,Grant,GR20707,TATRC III _ DOD_PIIM,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC98011,PIIM R & D,PG3850,Sponsored Research & Programs
20708,Dsgn & Visual Best Prctice_DARPA,Grant,GR20708,Dsgn & Visual Best Prctice_DARPA,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC98011,PIIM R & D,PG3850,Sponsored Research & Programs
20709,Dynamics of Sacred Val & Soc Resp,Grant,GR20709,Dynamics of Sacred Val & Soc Resp,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20406,Psychology NSSR,PG3850,Sponsored Research & Programs
20905,EPA STAR Fellowship Program,Grant,GR20905,EPA STAR Fellowship Program,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC40492,Public and Urban Policy PhD Milano,PG3850,Sponsored Research & Programs
20906,Humanities Action Lab (HAL)-IMLS,Grant,GR20906,Humanities Action Lab (HAL)-IMLS,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC15200,Dean's Office - SUS,PG3850,Sponsored Research & Programs
21000,Aid for Part Time Students,Grant,GR21000,Aid for Part Time Students,FN01,Unrestricted operating fund,FN08,Grant fund - State,null, ,PG3802,Student Services
21001,Tuition Assistance Program (TAP),Grant,GR21001,Tuition Assistance Program (TAP),FN01,Unrestricted operating fund,FN08,Grant fund - State,null, ,PG3802,Student Services
21002,NSGS Libraries Coop Collect Assist,Grant,GR21002,NSGS Libraries Coop Collect Assist,FN01,Unrestricted operating fund,FN08,Grant fund - State,CC72500,Office of the Librarian,PG3700,Academic Support
21006,Mannes Faculty Chamber Music Series,Grant,GR21006,Mannes Faculty Chamber Music Series,FN01,Unrestricted operating fund,FN08,Grant fund - State,CC45200,College Division,PG3008,Instruction
21013,Austen's Emma at 200_NYCH,Grant,GR21013,Austen's Emma at 200_NYCH,FN01,Unrestricted operating fund,FN08,Grant fund - State,CC25281,Literature LC,PG3852,Sponsored Non-Research
21014,Jazz Presents_NYSCA FY16,Grant,GR21014,Jazz Presents_NYSCA FY16,FN01,Unrestricted operating fund,FN08,Grant fund - State,CC55001,Dean's Office - School of Jazz,PG3852,Sponsored Non-Research
21015,Orion String Quartet/Newman/Oltman,Grant,GR21015,Orion String Quartet/Newman/Oltman,FN01,Unrestricted operating fund,FN08,Grant fund - State,CC45260,Chamber Music; College Division,PG3852,Sponsored Non-Research
21016,NYS Library Aid FY16,Grant,GR21016,NYS Library Aid FY16,FN01,Unrestricted operating fund,FN08,Grant fund - State,CC72500,Office of the Librarian,PG3852,Sponsored Non-Research
21017,NYSED Foster Care Youth Coll Succes,Grant,GR21017,NYSED Foster Care Youth Coll Succes,FN01,Unrestricted operating fund,FN08,Grant fund - State,CC80606,NYSED Foster care youth college success,PG3802,Student Services
22003,Fashion Draft NYC_NYCEDC_PS,Grant,GR22003,Fashion Draft NYC_NYCEDC_PS,FN01,Unrestricted operating fund,FN09,Grant fund - local,CC10140,Career Services,PG3802,Student Services
22005,iZone_Fund for Public Schools_PS,Grant,GR22005,iZone_Fund for Public Schools_PS,FN01,Unrestricted operating fund,FN09,Grant fund - local,CC10540,School of Design Strategies: Program Admin Budget,PG3852,Sponsored Non-Research
22007,Hearst Open Seed Research Proj_NYCM,Grant,GR22007,Hearst Open Seed Research Proj_NYCM,FN01,Unrestricted operating fund,FN09,Grant fund - local,CC10500,School Art; Media & Tech: Program Admin Budget,PG3850,Sponsored Research & Programs
22010,NYCEDC Fashion Career Week_PS,Grant,GR22010,NYCEDC Fashion Career Week_PS,FN01,Unrestricted operating fund,FN09,Grant fund - local,CC10510,School of Fashion: Program Admin Budget,PG3852,Sponsored Non-Research
22011,New School Concerts - NYC DCA,Grant,GR22011,New School Concerts - NYC DCA,FN01,Unrestricted operating fund,FN09,Grant fund - local,CC45390,New School Concerts,PG3852,Sponsored Non-Research
22012,NYCML - Parsons + ESPN,Grant,GR22012,NYCML - Parsons + ESPN,FN01,Unrestricted operating fund,FN09,Grant fund - local,CC10500,School Art; Media & Tech: Program Admin Budget,PG3852,Sponsored Non-Research
22013,InsideSchools.Org_NYC DOE,Grant,GR22013,InsideSchools.Org_NYC DOE,FN01,Unrestricted operating fund,FN09,Grant fund - local,CC40802,Center for New York City Affairs,PG3852,Sponsored Non-Research
22014,InsideSchools.Org_MCGP_NYCDOE,Grant,GR22014,InsideSchools.Org_MCGP_NYCDOE,FN01,Unrestricted operating fund,FN09,Grant fund - local,CC40802,Center for New York City Affairs,PG3852,Sponsored Non-Research
22016,OFE Public Svc Dsgn Proj_PS,Grant,GR22016,OFE Public Svc Dsgn Proj_PS,FN01,Unrestricted operating fund,FN09,Grant fund - local,CC10540,School of Design Strategies: Program Admin Budget,PG3850,Sponsored Research & Programs
22017,FY16 New School Concert_NYCDCA,Grant,GR22017,FY16 New School Concert_NYCDCA,FN01,Unrestricted operating fund,FN09,Grant fund - local,CC45390,New School Concerts,PG3852,Sponsored Non-Research
22018,MF3:Dsgn for Financial Empowerment,Grant,GR22018,MF3:Dsgn for Financial Empowerment,FN01,Unrestricted operating fund,FN09,Grant fund - local,CC10540,School of Design Strategies: Program Admin Budget,PG3850,Sponsored Research & Programs
22019,MF2: NYCitezenship - MOIA_PS,Grant,GR22019,MF2: NYCitezenship - MOIA_PS,FN01,Unrestricted operating fund,FN09,Grant fund - local,CC10540,School of Design Strategies: Program Admin Budget,PG3850,Sponsored Research & Programs
22020,NYCML Vonage Project_PS,Grant,GR22020,NYCML Vonage Projejct_PS,FN01,Unrestricted operating fund,FN09,Grant fund - local,CC10520,School of Constructed Environments: Program Admin Budget,PG3850,Sponsored Research & Programs
25002,Altos Bluhdorn Trust,Gift,GF25002,Altos Bluhdorn Trust,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC10176,Affiliations other,PG3700,Academic Support
25003,Anatol Shulkin Memorial Scholarship,Gift,GF25003,Anatol Shulkin Memorial Scholarship,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC10200,Scholarship PS BFA,PG3700,Academic Support
25005,Archives Parsons,Gift,GF25005,Archives Parsons,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC72500,Office of the Librarian,PG3700,Academic Support
25010,Urban Environmental Studies LC,Gift,GF25010,Urban Environmental Studies LC,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC25300,Urban Studies LC,PG3700,Academic Support
25013,Project Pericles LC,Gift,GF25013,Project Pericles LC,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC25350,Civic Engagement; LC,PG3851,Public Services
25016,Biological Terrorism,Gift,GF25016,Biological Terrorism,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3850,Sponsored Research & Programs
25017,Bluhdorn Spendable Scholarship,Gift,GF25017,Bluhdorn Spendable Scholarship,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3700,Academic Support
25018,Donnelley Fund for NSSR Scholarships,Gift,GF25018,Donnelley Fund for NSSR Scholarships,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC20400,Student Funding NSSR,PG3700,Academic Support
25019,Design & Mkt Luxury Prod LEF PS,Gift,GF25019,Design & Mkt Luxury Prod LEF PS,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC10222,Strategic Design & Management PS BBA,PG3700,Academic Support
25021,SCEPA Designated Funds_NSSR,Gift,GF25021,SCEPA Designated Funds_NSSR,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC20500,Center for Economic Policy Analysis,PG3008,Instruction
25023,Institute NYC Affairs Gen Support,Gift,GF25023,Institute NYC Affairs Gen Support,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC40802,Center for New York City Affairs,PG3008,Instruction
25032,NY String Orchestra Seminars MA,Gift,GF25032,NY String Orchestra Seminars MA,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC45390,New School Concerts,PG3700,Academic Support
25035,TCDS Programs,Gift,GF25035,TCDS Programs,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3008,Instruction
25037,Statue Found Psych Fellows NSSR,Gift,GF25037,Statue Found Psych Fellows NSSR,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC20400,Student Funding NSSR,null, 
25038,Design Workshop_PS,Gift,GF25038,Design Workshop_PS,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC10520,School of Constructed Environments: Program Admin Budget,PG6005,Institutional Support
25039,Designated Scholarship MA,Gift,GF25039,Designated Scholarship MA,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3700,Academic Support
25040,Goldsmith Housing Stipends MA,Gift,GF25040,Goldsmith Housing Stipends MA,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC45200,College Division,null, 
25044,Non Profit Leadership Institute MM,Gift,GF25044,Non Profit Leadership Institute MM,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC40001,Dean's Office - Milano,PG3850,Sponsored Research & Programs
25048,Donghia MFA IDA Scholars_PS,Gift,GF25048,Donghia MFA IDA Scholars_PS,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC10400,Graduate Scholarship PS MFA,null, 
25049,Exhibition Fund Parsons,Gift,GF25049,Exhibition Fund Parsons,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG6005,Institutional Support
25056,HDCA Ideas Changing History Conf,Gift,GF25056,HDCA Ideas Changing History Conf,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC15481,International Affairs Curriculum,PG3850,Sponsored Research & Programs
25060,Ford Journal Project,Gift,GF25060,Ford Journal Project,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20800,Journal Donation Project,PG3851,Public Services
25067,Glickenhaus Scholarships,Gift,GF25067,Glickenhaus Scholarships,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3700,Academic Support
25068,Hanna Arendt Center Project,Gift,GF25068,Hanna Arendt Center Project,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC20180,Summer and Winter Teaching NSSR,PG3008,Instruction
25084,Beacons in Jazz/Jazz Prgm Rstrctd,Gift,GF25084,Beacons in Jazz/Jazz Prgm Rstrctd,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3700,Academic Support
25085,Jazz Vanguard,Gift,GF25085,Jazz Vanguard,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3850,Sponsored Research & Programs
25087,John Mcdonald Moore Memorial,Gift,GF25087,John Mcdonald Moore Memorial,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3700,Academic Support
25090,Lang Board of Governors Sch Fd,Gift,GF25090,Lang Board of Governors Sch Fd,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3700,Academic Support
25094,Loeb Lectures,Gift,GF25094,Loeb Lectures,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3700,Academic Support
25098,Mannes Lease Fund,Gift,GF25098,Mannes Lease Fund,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC45046,Technical Services - Mannes,PG3700,Academic Support
25099,Master Decorative Art Fellowship,Gift,GF25099,Master Decorative Art Fellowship,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3008,Instruction
25100,Endeavor Environmental Studies LC,Gift,GF25100,Endeavor Environmental Studies LC,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC25244,Science Technology and Society LC,null, 
25107,Drama Misc Scholarship Fund,Gift,GF25107,Drama Misc Scholarship Fund,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3700,Academic Support
25115,2017 Parsons Benefit,Gift,GF25115,2017 Parsons Benefit,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC10510,School of Fashion: Program Admin Budget,PG6005,Institutional Support
25116,Parsons Fashion Benefit FY15/16,Gift,GF25116,Parsons Fashion Benefit FY15/16,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC10062,Parsons Fashion Benefit PS,PG6005,Institutional Support
25122,Program Fund Green,Gift,GF25122,Program Fund Green,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3008,Instruction
25133,Rothenberg Latin America_NSSR,Gift,GF25133,Rothenberg Latin America_NSSR,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC20803,Janey Program in Latin American Studies,PG3008,Instruction
25137,Doc Studies Restricted Gifts NSGS,Gift,GF25137,Doc Studies Restricted Gifts NSGS,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC15435,Documentary Studies,PG3700,Academic Support
25146,Thanks to Scandanavia,Gift,GF25146,Thanks to Scandanavia,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC88820,Financial Aid,null, 
25162,Joel Lester Piano & Equip Fund_MA,Gift,GF25162,Joel Lester Piano & Equip Fund_MA,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC45200,College Division,PG3700,Academic Support
25163,Client Resistance Project,Gift,GF25163,Client Resistance Project,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3850,Sponsored Research & Programs
25174,President's Initiative Scholarship,Gift,GF25174,President's Initiative Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
25192,Arnhold Dresden Exchange,Gift,GF25192,Arnhold Dresden Exchange,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3850,Sponsored Research & Programs
25195,Montrone Fisher Scientific,Gift,GF25195,Montrone Fisher Scientific,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3700,Academic Support
25211,Coro Fellow Support Con Ed MM,Gift,GF25211,Coro Fellow Support Con Ed MM,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC40001,Dean's Office - Milano,PG3700,Academic Support
25219,Sandalwood Yovel Research Fund,Gift,GF25219,Sandalwood Yovel Research Fund,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20020,Faculty Research Fund - NSSR ,PG3700,Academic Support
25222,Stephen Weiss Lectures in Business,Gift,GF25222,Stephen Weiss Lectures in Business,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC10222,Strategic Design & Management PS BBA,PG3700,Academic Support
25228,Parsons Fashion Show FY13/14,Gift,GF25228,Parsons Fashion Show FY13/14,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC10062,Parsons Fashion Benefit PS,PG6005,Institutional Support
25234,La Guardia Presidents' Scholarship,Gift,GF25234,La Guardia Presidents' Scholarship,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3700,Academic Support
25238,Milano Finance Lab,Gift,GF25238,Milano Finance Lab,FN01,Unrestricted operating fund,FN05,Temporarily restricted,null, ,PG3850,Sponsored Research & Programs
25249,Gellert Fund for NSSR,Gift,GF25249,Gellert Fund for NSSR,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC20001,Dean's Office NSSR,null, 
25251,William Zabel Contribution,Gift,GF25251,William Zabel Contribution,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC80200,General Institutional Activity,null, 
25252,Douglas Durst Contribution,Gift,GF25252,Douglas Durst Contribution,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC70200,President's Office,null, 
25253,Tishman Environmntl Merit Scholars,Gift,GF25253,Tishman Environmntl Merit Scholars,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC25200,Tuition and Scholarship-General; LC,null, 
25255,Misc Small Gifts Scholarships PS,Gift,GF25255,Misc Small Gifts Scholarships PS,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC10200,Scholarship PS BFA,null, 
25258,Julien Studley Restricted Fund,Gift,GF25258,Julien Studley Restricted Fund,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC92200,Office of the Chief Development Officer,null, 
25262,Parsons Fashion Benefit FY14/15,Gift,GF25262,Parsons Fashion Benefit FY14/15,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC10062,Parsons Fashion Benefit PS,PG6005,Institutional Support
25263,Rosemary Russell Chair for Cello MA,Gift,GF25263,Rosemary Russell Chair for Cello MA,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC45390,New School Concerts,null, 
25264,LCU Young Women's Housing Awards MA,Gift,GF25264,LCU Young Women's Housing Awards MA,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC45200,College Division,null, 
25266,H Alpert's Insurance Fund,Gift,GF25266,H Alpert's Insurance Fund,FN01,Unrestricted operating fund,FN05,Temporarily restricted,CC20060,Development NSSR,null, 
